iter	Passed	Remaining
0	1	100
1	1	83
2	2	83
3	3	75
4	3	75
5	4	71
6	5	69
7	5	68
8	6	66
9	7	65
10	7	63
11	8	62
12	9	61
13	9	59
14	10	59
15	11	58
16	11	57
17	12	57
18	13	57
19	14	57
20	15	56
21	15	56
22	16	55
23	17	55
24	18	54
25	18	54
26	19	53
27	20	52
28	21	51
29	21	50
30	22	50
31	23	49
32	23	48
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	69	2
97	70	1
98	70	0
99	71	0
