iter	Passed	Remaining
0	143	142942
1	144	72051
2	145	48342
3	146	36420
4	147	29277
5	148	24547
6	149	21241
7	150	18713
8	152	16738
9	152	15144
10	155	13958
11	156	12866
12	157	11970
13	158	11162
14	159	10471
15	160	9856
16	161	9311
17	162	8840
18	162	8409
19	163	8024
20	164	7675
21	165	7356
22	166	7064
23	167	6795
24	167	6547
25	168	6317
26	169	6111
27	170	5922
28	171	5741
29	172	5570
30	173	5415
31	174	5265
32	174	5123
33	175	4990
34	176	4868
35	177	4753
36	178	4641
37	179	4538
38	180	4437
39	180	4341
40	181	4249
41	182	4161
42	183	4086
43	184	4007
44	185	3937
45	186	3865
46	187	3795
47	188	3729
48	188	3664
49	189	3602
50	190	3547
51	191	3495
52	192	3441
53	193	3387
54	194	3336
55	194	3286
56	195	3238
57	196	3192
58	197	3150
59	198	3109
60	199	3070
61	200	3033
62	201	2998
63	202	2961
64	203	2925
65	204	2892
66	205	2858
67	206	2824
68	206	2791
69	207	2759
70	208	2728
71	209	2699
72	210	2669
73	211	2641
74	211	2613
75	212	2586
76	213	2560
77	214	2535
78	215	2514
79	216	2491
80	217	2468
81	218	2446
82	219	2420
83	219	2398
84	220	2378
85	221	2358
86	222	2338
87	223	2319
88	224	2300
89	225	2281
90	226	2262
91	227	2244
92	228	2226
93	229	2209
94	230	2193
95	231	2179
96	232	2163
97	233	2148
98	234	2133
99	235	2119
100	236	2106
101	237	2092
102	238	2078
103	239	2064
104	240	2050
105	241	2036
106	242	2024
107	243	2010
108	244	2001
109	246	1991
110	247	1978
111	248	1966
112	249	1957
113	250	1945
114	251	1932
115	252	1921
116	252	1908
117	253	1896
118	254	1885
119	255	1873
120	256	1862
121	257	1850
122	257	1839
123	258	1828
124	260	1820
125	261	1811
126	261	1800
127	262	1789
128	263	1778
129	264	1768
130	265	1759
131	266	1749
132	266	1739
133	267	1729
134	268	1719
135	269	1709
136	269	1700
137	270	1690
138	271	1681
139	272	1672
140	273	1664
141	273	1654
142	274	1646
143	275	1639
144	276	1630
145	277	1622
146	278	1614
147	279	1606
148	279	1598
149	280	1590
150	281	1582
151	282	1574
152	283	1566
153	283	1559
154	284	1551
155	285	1543
156	286	1537
157	287	1529
158	287	1522
159	288	1515
160	289	1507
161	290	1501
162	291	1495
163	292	1489
164	292	1482
165	293	1475
166	294	1468
167	295	1462
168	296	1456
169	296	1449
170	297	1443
171	298	1437
172	299	1430
173	300	1424
174	300	1418
175	301	1413
176	302	1407
177	304	1404
178	305	1399
179	306	1394
180	306	1388
181	307	1383
182	308	1378
183	309	1373
184	310	1368
185	311	1362
186	312	1357
187	312	1351
188	313	1346
189	314	1340
190	315	1335
191	316	1330
192	317	1327
193	318	1323
194	319	1319
195	320	1315
196	321	1312
197	323	1308
198	324	1304
199	325	1300
200	326	1297
201	327	1294
202	328	1290
203	329	1285
204	330	1281
205	331	1276
206	332	1272
207	333	1268
208	333	1264
209	334	1260
210	336	1256
211	336	1252
212	337	1247
213	338	1243
214	339	1238
215	340	1234
216	340	1230
217	341	1225
218	342	1221
219	343	1217
220	344	1212
221	345	1209
222	345	1205
223	346	1201
224	347	1197
225	348	1193
226	349	1189
227	350	1186
228	351	1182
229	352	1178
230	352	1174
231	353	1170
232	354	1166
233	355	1162
234	356	1158
235	357	1156
236	358	1152
237	359	1149
238	359	1146
239	360	1142
240	361	1139
241	362	1135
242	363	1132
243	364	1129
244	365	1126
245	366	1123
246	367	1120
247	368	1116
248	369	1113
249	369	1109
250	370	1106
251	371	1103
252	372	1101
253	373	1098
254	374	1094
255	375	1091
256	376	1088
257	377	1085
258	378	1082
259	379	1079
260	380	1076
261	381	1073
262	382	1070
263	383	1067
264	384	1065
265	385	1062
266	385	1059
267	386	1056
268	388	1054
269	388	1051
270	389	1048
271	390	1045
272	391	1042
273	392	1040
274	393	1037
275	394	1034
276	395	1032
277	396	1029
278	397	1026
279	398	1024
280	399	1021
281	400	1018
282	400	1015
283	401	1013
284	402	1010
285	403	1007
286	404	1004
287	405	1002
288	406	999
289	407	996
290	408	994
291	409	991
292	410	991
293	412	989
294	413	987
295	414	986
296	415	984
297	417	982
298	418	980
299	419	978
300	420	976
301	421	974
302	422	972
303	425	975
304	427	973
305	428	972
306	430	972
307	432	971
308	433	969
309	434	967
310	435	965
311	437	963
312	438	962
313	440	961
314	441	960
315	443	959
316	444	958
317	446	956
318	447	954
319	448	953
320	449	951
321	450	949
322	451	947
323	453	945
324	454	943
325	455	942
326	456	940
327	457	938
328	458	935
329	460	934
330	461	932
331	462	930
332	463	928
333	464	926
334	465	924
335	466	922
336	468	920
337	469	919
338	470	918
339	471	916
340	472	914
341	473	911
342	474	909
343	475	907
344	476	905
345	477	902
346	478	900
347	479	897
348	480	895
349	480	893
350	481	890
351	482	888
352	483	886
353	484	884
354	485	882
355	486	879
356	487	877
357	488	875
358	488	873
359	489	871
360	490	868
361	491	866
362	492	864
363	493	862
364	494	860
365	495	858
366	496	856
367	497	853
368	498	851
369	499	849
370	500	847
371	501	845
372	501	843
373	502	841
374	503	839
375	504	836
376	505	834
377	505	832
378	506	830
379	507	827
380	508	825
381	508	823
382	509	821
383	510	818
384	511	816
385	512	814
386	513	812
387	514	810
388	515	808
389	515	806
390	516	804
391	517	802
392	518	800
393	519	798
394	520	797
395	521	795
396	522	792
397	522	790
398	523	788
399	524	786
400	525	784
401	525	782
402	526	780
403	527	778
404	528	776
405	529	775
406	530	773
407	531	771
408	532	769
409	533	768
410	534	766
411	535	764
412	536	762
413	537	761
414	538	759
415	539	757
416	540	755
417	541	753
418	542	752
419	543	750
420	544	748
421	545	746
422	546	744
423	546	743
424	547	741
425	549	739
426	549	737
427	550	736
428	551	734
429	552	732
430	553	730
431	554	729
432	555	727
433	556	725
434	557	723
435	558	721
436	559	720
437	560	718
438	561	717
439	562	715
440	562	713
441	563	711
442	564	709
443	565	708
444	566	706
445	567	704
446	568	703
447	569	701
448	570	699
449	571	698
450	572	696
451	573	694
452	574	693
453	575	692
454	576	690
455	577	688
456	578	687
457	579	685
458	580	684
459	581	682
460	582	681
461	583	679
462	584	678
463	585	676
464	586	674
465	587	673
466	588	671
467	589	669
468	590	668
469	591	666
470	592	664
471	592	663
472	593	661
473	594	659
474	595	657
475	596	656
476	596	654
477	598	653
478	599	651
479	600	650
480	601	648
481	602	647
482	603	645
483	603	643
484	605	642
485	606	641
486	607	639
487	608	638
488	609	636
489	610	635
490	611	633
491	612	632
492	613	631
493	614	629
